Data,descComorbidade,quantidadeObitos,situacaoComorbidade
2020-04-11,Outra Pneumopatia Crônica,12,Sim
2020-04-11,Doença Neurológica Crônica,8,Sim
2020-04-11,Doença Renal Crônica,7,Sim
2020-04-11,Doença Hematológica Crônica,2,Sim
2020-04-11,Obesidade,2,Sim
2020-04-11,Asma,1,Sim
2020-04-11,Doença Hepática Crônica,1,Sim
2020-04-12,Doença Cardiovascular Crônica,60,Sim
2020-04-12,Diabetes mellitus,37,Sim
2020-04-12,Outra Pneumopatia Crônica,12,Sim
2020-04-12,Doença Neurológica Crônica,9,Sim
2020-04-12,Doença Renal Crônica,7,Sim
2020-04-12,Doença Hematológica Crônica,2,Sim
2020-04-12,Obesidade,2,Sim
2020-04-12,Asma,1,Sim
2020-04-12,Doença Hepática Crônica,1,Sim
2020-04-13,Doença Cardiovascular Crônica,61,Sim
2020-04-13,Diabetes mellitus,38,Sim
2020-04-13,Outra Pneumopatia Crônica,12,Sim
2020-04-13,Doença Neurológica Crônica,9,Sim
2020-04-13,Doença Renal Crônica,7,Sim
2020-04-13,Doença Hematológica Crônica,2,Sim
2020-04-13,Obesidade,2,Sim
2020-04-13,Asma,1,Sim
2020-04-13,Doença Hepática Crônica,1,Sim
2020-04-14,Doença Cardiovascular Crônica,66,Sim
2020-04-14,Diabetes mellitus,40,Sim
2020-04-14,Outra Pneumopatia Crônica,12,Sim
2020-04-14,Doença Neurológica Crônica,10,Sim
2020-04-14,Doença Renal Crônica,7,Sim
2020-04-14,Doença Hematológica Crônica,2,Sim
2020-04-14,Obesidade,2,Sim
2020-04-14,Asma,1,Sim
2020-04-14,Doença Hepática Crônica,1,Sim
2020-04-14,Imunodeficiência/Imunodepressão,1,Sim
